CNPJ,Razao_Social,Trimestre,Ano,ValorDespesas,RegistroANS,Modalidade,UF,CNPJ_Valido,Nome_Valido,Valor_Valido
82956996000178,FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS,1,2025,50566835.02,315044,Autogestão,SC,True,True,True
42465310000121,TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL,1,2025,1680720.58,316849,Autogestão,RJ,True,True,True
65442162000125,UNIODONTO DE ARARAQUARA COOPERATIVA ODONTOLÓGICA,1,2025,1532924.66,316997,Cooperativa odontológica,SP,True,True,True
17505793000101,ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,1,2025,45234832.87,314668,Autogestão,MG,True,True,True
44595858000111,UNIODONTO DO BRASIL CENTRAL NACIONAL DAS COOPERATIVAS ODONTÓLOGICAS,1,2025,2726073.09,314315,Cooperativa odontológica,SP,True,True,True
83506030000100,BENEFICENCIA CAMILIANA DO SUL,1,2025,57502692.66,318299,Filantropia,SP,True,True,True
73395469000140,CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE,1,2025,31969866.09,316873,Autogestão,MG,True,True,True
69612158000119,UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO,1,2025,3534694.43,313475,Cooperativa Médica,PI,True,True,True
60975174000100,ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO,1,2025,169576703.73,314218,Filantropia,SP,True,True,True
00660903000107,FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG,1,2025,44647215.63,315567,Autogestão,MG,True,True,True
82602327000106,UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO,1,2025,140101664.97,321273,Cooperativa Médica,SC,True,True,True
69087922000184,UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO,1,2025,15657912.34,323055,Cooperativa Médica,SP,True,True,True
43643139000166,UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS,1,2025,325879655.03,319996,Cooperativa Médica,SP,True,True,True
32440968000125,UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO,1,2025,98591544.35,320706,Cooperativa Médica,ES,True,True,True
26150979000178,FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO,1,2025,8882598.89,323942,Filantropia,MG,True,True,True
02888465000156,OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA.,1,2025,26388334.65,318477,Medicina de Grupo,SP,True,True,True
81076069000109,UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO,1,2025,23954745.69,320862,Cooperativa Médica,PR,True,True,True
08680639000177,UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO,1,2025,245019635.12,321044,Cooperativa Médica,PB,True,True,True
25335803000128,ASSOCIAÇÃO BENEFICENTE CATÓLICA,1,2025,2646384.94,322326,Filantropia,MG,True,True,True
68682715000105,PLAMER PLANO MEDICO RESENDE LTDA,1,2025,8188441.83,324299,Medicina de Grupo,RJ,True,True,True
00636975000100,SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA,1,2025,13005088.27,319180,Medicina de Grupo,SP,True,True,True
72127210000156,IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI,1,2025,7167731.59,321320,Filantropia,SP,True,True,True
27626696000112,UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA.,1,2025,15769796.59,323357,Cooperativa Médica,RJ,True,True,True
71064539000152,UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO,1,2025,5754603.6,324175,Cooperativa Médica,MG,True,True,True
87497368000195,UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA,1,2025,63831016.35,319708,Cooperativa Médica,RS,True,True,True
03658432000182,GEAP AUTOGESTÃO EM SAÚDE,1,2025,1224189803.85,323080,Autogestão,DF,True,True,True
28806545000109,UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO,1,2025,43696113.83,323993,Cooperativa Médica,RJ,True,True,True
35642768000143,UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO,1,2025,34219043.08,318566,Cooperativa Médica,AL,True,True,True
00368318000120,UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.,1,2025,12431292.61,321087,Cooperativa Médica,RJ,True,True,True
22263081000155,HOSPITAL CESAR LEITE,1,2025,2606520.86,314706,Filantropia,MG,True,True,True
82353079000107,PARANA ASSISTENCIA MEDICA LTDA,1,2025,16646744.58,315265,Medicina de Grupo,PR,True,True,True
44803922000102,UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS,1,2025,150834801.75,315729,Cooperativa Médica,SP,True,True,True
85177194000158,COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA,1,2025,14434089.38,317012,Cooperativa Médica,SC,True,True,True
26291484000169,UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO,1,2025,13766861.42,318035,Cooperativa Médica,MG,True,True,True
42160192000143,FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL,1,2025,67366195.08,317233,Autogestão,PE,True,True,True
73162760000179,UNIODONTO DE SÃO JOSÉ DOS CAMPOS COOPERATIVA DE TRABALHO ODONTOLÓGICO,1,2025,9347029.92,313751,Cooperativa odontológica,SP,True,True,True
41781949000153,UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS,1,2025,23947657.09,316148,Cooperativa Médica,MG,True,True,True
03315918000118,UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MÉDICO,1,2025,207320407.07,312851,Cooperativa Médica,MS,True,True,True
52657079000121,UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO,1,2025,1612537.09,313149,Cooperativa Médica,SP,True,True,True
15215452000168,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB,1,2025,6815581.45,315583,Autogestão,BA,True,True,True
66343559000122,UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO,1,2025,34219703.8,316881,Cooperativa Médica,MG,True,True,True
00840048000108,UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO,1,2025,9054211.01,314242,Cooperativa Médica,SP,True,True,True
62635990000191,ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO,1,2025,79274881.76,317632,Autogestão,SP,True,True,True
62465117000106,FUNDAÇÃO CESP,1,2025,364078213.34,315478,Autogestão,SP,True,True,True
66343534000129,UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO,1,2025,10402720.36,314587,Cooperativa Médica,MG,True,True,True
68204486000113,UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO,1,2025,7763656.15,314781,Cooperativa Médica,SP,True,True,True
78339439000130,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1,2025,156380661.87,312720,Cooperativa Médica,PR,True,True,True
41511429000120,UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO,1,2025,6736715.4,316458,Cooperativa Médica,PI,True,True,True
13086566000120,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE,1,2025,6105296.57,335789,Autogestão,SE,True,True,True
00946953000147,UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO,1,2025,17291994.5,337498,Cooperativa Médica,RJ,True,True,True
01672007000112,SISTEMA PREVSAUDE DENTAL LTDA,1,2025,327877.36,333239,Odontologia de Grupo,CE,True,True,True
00111826000128,UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA,1,2025,31074591.17,335215,Cooperativa Médica,RJ,True,True,True
08315806000180,UNIMED PATOS - COOPERATIVA DE TRABALHO MÉDICO,1,2025,3720371.32,336467,Cooperativa Médica,PB,True,True,True
60214517000105,UNIMED SAO JOSE DOS CAMPOS - COOPERATIVA DE TRABALHO MEDICO,1,2025,155893583.45,331872,Cooperativa Médica,SP,True,True,True
74466137000172,UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO,1,2025,56579286.04,333051,Cooperativa Médica,SP,True,True,True
65276354000109,UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO,1,2025,19335150.68,335517,Cooperativa Médica,MG,True,True,True
08380701000105,UNIMED NATAL SOC. COOP. DE TRAB. MÉDICO,1,2025,274672266.16,335592,Cooperativa Médica,RN,True,True,True
31466949000105,SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A,1,2025,348229978.42,335614,Medicina de Grupo,ES,True,True,True
21490586000190,COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE,1,2025,67853975.58,337188,Cooperativa Médica,MG,True,True,True
00172586000171,UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA,1,2025,1646750.07,336017,Cooperativa odontológica,SP,True,True,True
48721401000167,UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO,1,2025,19424752.98,334154,Cooperativa Médica,SP,True,True,True
46124624000111,UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO,1,2025,733967058.55,335690,Cooperativa Médica,SP,True,True,True
86483542000188,UNIMED VALE DO CARANGOLA COOPERATIVA DE TRABALHO MEDICO LTDA,1,2025,3955105.21,337561,Cooperativa Médica,MG,True,True,True
79115762000193,IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ,1,2025,30826123.79,336831,Filantropia,PR,True,True,True
82624776000147,UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO,1,2025,165952615.89,334561,Cooperativa Médica,SC,True,True,True
45100138000109,UNIMED SAO JOSÉ DO RIO PRETO - COOP. DE TRABALHO MÉDICO,1,2025,299531883.53,335100,Cooperativa Médica,SP,True,True,True
23725062000166,UNIODONTO DE FORTALEZA COOPERATIVA DE TRABALHO ODONTOLOGICO LTDA,1,2025,5463962.69,335258,Cooperativa odontológica,CE,True,True,True
52852100000140,IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO,1,2025,14199446.3,333808,Filantropia,SP,True,True,True
92128610000193,"UNIMED VALE DAS ANTAS, RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.",1,2025,19215848.32,335541,Cooperativa Médica,RS,True,True,True
25910449000118,UNIMED ARAXÁ COOPERATIVA DE TRABALHO MÉDICO LTDA.,1,2025,18853216.42,331651,Cooperativa Médica,MG,True,True,True
05657234000120,UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MÉDICA LTDA,1,2025,63187066.26,337374,Cooperativa Médica,RO,True,True,True
39419809000198,PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE,1,2025,105221473.72,331988,Autogestão,RJ,True,True,True
89761670000134,ASSOCIAÇAO UNISAUDE MARAU,1,2025,3526107.01,333867,Medicina de Grupo,RS,True,True,True
66872888000160,UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO,1,2025,81792709.21,336106,Cooperativa Médica,SP,True,True,True
58702853000155,UNIODONTO DE SOROCABA COOPERATIVA ODONTOLÓGICA,1,2025,1552783.22,334243,Cooperativa odontológica,SP,True,True,True
15395999000192,UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA,1,2025,38566184.38,333662,Cooperativa Médica,MS,True,True,True
29135795000127,UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.,1,2025,98634264.65,335479,Cooperativa Médica,RJ,True,True,True
14799035000147,ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA,1,2025,26705614.17,335754,Autogestão,BA,True,True,True
81710543000102,UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO,1,2025,20513161.55,336858,Cooperativa Médica,PR,True,True,True
37652765000116,UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.,1,2025,3918374.24,334847,Cooperativa Médica,GO,True,True,True
02041808000142,ADVANCE PLANOS DE SAÚDE LTDA,1,2025,6364905.83,335657,Medicina de Grupo,SP,True,True,True
23278898000160,IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS,1,2025,12708670.32,333875,Filantropia,MG,True,True,True
37496767000163,UNIODONTO DE MATO GROSSO COOP TRAB ODONTOLOGICO LTDA,1,2025,430767.0,343404,Cooperativa odontológica,MT,True,True,True
24449225000198,UNIMED CARUARU-COOPERATIVA DE TRABALHO MEDICO,1,2025,104047887.9,340952,Cooperativa Médica,PE,True,True,True
02403281000159,SAMP ESPIRITO SANTO ASSISTENCIA MEDICA SA,1,2025,183408719.34,342033,Medicina de Grupo,ES,True,True,True
00342481000113,UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO,1,2025,7160791.16,343765,Cooperativa Médica,GO,True,True,True
02314168000105,UNIMED CAJAZEIRAS - SOCIEDADE COOPERATIVA DE TRABALHO MÉDICO,1,2025,912829.78,344141,Cooperativa Médica,PB,True,True,True
77375897000162,FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL,1,2025,54412445.11,338648,Autogestão,PR,True,True,True
80653975000158,UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO,1,2025,17797777.18,340251,Cooperativa Médica,SC,True,True,True
87547444000120,ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI,1,2025,52576876.21,342556,Filantropia,RS,True,True,True
15594468000129,PLAMED PLANO DE ASSISTENCIA MEDICA LTDA,1,2025,17891827.33,343463,Medicina de Grupo,SE,True,True,True
33601568000117,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME,1,2025,886413.49,344184,Autogestão,GO,True,True,True
01012474000116,UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA,1,2025,3123840.54,343722,Cooperativa Médica,MG,True,True,True
01659087000176,UNIMED VILHENA - COOPERATIVA DE TRABALHO MEDICO LTDA,1,2025,7008542.91,342131,Cooperativa Médica,RO,True,True,True
00531736000196,UNIODONTO JACAREÍ COOPERATIVA ODONTOLÓGICA,1,2025,1014204.06,343056,Cooperativa odontológica,SP,True,True,True
75222224000147,UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MÉDICO,1,2025,250136910.73,343269,Cooperativa Médica,PR,True,True,True
47565155000139,UNIMED DE PINDAMONHANGABA - COOPERATIVA TRABALHO MEDICO,1,2025,11509174.61,342343,Cooperativa Médica,SP,True,True,True
35436658000125,DENTAL CENTER LTDA,1,2025,1084975.51,339458,Odontologia de Grupo,PB,True,True,True
49320799000192,ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL,1,2025,23187871.73,342611,Autogestão,SP,True,True,True
33721226000130,SAMOC S.A. - SOCIEDADE ASSISTENCIAL MÉDICA E ODONTO CIRÚRGICA,1,2025,15127374.6,343676,Medicina de Grupo,RJ,True,True,True
84313741000112,UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA,1,2025,50162417.12,337871,Cooperativa Médica,AC,True,True,True
19878404000100,FUNDAÇÃO SÃO FRANCISCO XAVIER,1,2025,158596069.24,339954,Filantropia,MG,True,True,True
00763923000103,UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO,1,2025,77318.87,341819,Cooperativa Médica,MG,True,True,True
45572583000163,GARANTIA DE SAÚDE LTDA,1,2025,21907361.5,343064,Medicina de Grupo,SP,True,True,True
00668790000188,CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE,1,2025,10613737.74,320820,Autogestão,RS,True,True,True
78044815000160,UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO,1,2025,28454734.58,322571,Cooperativa Médica,PR,True,True,True
37275625000176,UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO,1,2025,53956546.13,320251,Cooperativa Médica,GO,True,True,True
29640612000120,CONFERÊNCIA SÃO JOSÉ DO AVAÍ,1,2025,8716081.01,321931,Filantropia,RJ,True,True,True
09237009000195,UNIMED NORTE/NORDESTE-FEDERAÇÃO INTERFEDERATIVA DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO EM RECUPERAÇÃO JUDICIAL,1,2025,703688.09,324213,Cooperativa Médica,PB,True,True,True
87607149000111,UNIMED PLANALTO MÉDIO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,1,2025,40914121.83,319384,Cooperativa Médica,RS,True,True,True
39210844000100,UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO,1,2025,18974640.65,320897,Cooperativa Médica,RJ,True,True,True
35908607000159,CAMIM OPERADORA DE PLANO DE SAÚDE LTDA,1,2025,977782.98,319872,Medicina de Grupo,RJ,True,True,True
24243925000121,UNIODONTO MACEIÓ COOPERATIVA ODONTOLÓGICA,1,2025,4786366.8,321125,Cooperativa odontológica,AL,True,True,True
00012698000165,UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO,1,2025,3772775.0,323004,Cooperativa Médica,SP,True,True,True
25329079000120,UNIMED SÃO JOÃO DEL REI - COOPERATIVA DE TRABALHO MÉDICO,1,2025,20388450.87,323926,Cooperativa Médica,MG,True,True,True
74521188000150,UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO,1,2025,24068168.69,318388,Cooperativa Médica,SP,True,True,True
01647867000104,UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS,1,2025,225171.17,320838,Cooperativa Médica,MG,True,True,True
10395358000114,UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA.,1,2025,73818216.45,321958,Cooperativa Médica,CE,True,True,True
40853020000120,UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO,1,2025,92513562.33,323268,Cooperativa Médica,PE,True,True,True
57214900000159,UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO,1,2025,16410418.0,324159,Cooperativa Médica,SP,True,True,True
25250820000162,UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA,1,2025,132203582.69,319121,Cooperativa Médica,MG,True,True,True
51473692000126,IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA,1,2025,19734307.55,319422,Filantropia,SP,True,True,True
23802218000165,UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO,1,2025,20892275.25,322831,Cooperativa Médica,MG,True,True,True
02156150000114,DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA.,1,2025,1184197.53,322890,Odontologia de Grupo,SP,True,True,True
04463083000106,ITAUSEG SAÚDE S.A.,1,2025,82496034.5,884,Seguradora Especializada em Saúde,SP,True,True,True
04487255000181,UNIMED SEGUROS SAÚDE S/A,1,2025,1205194240.59,701,Seguradora Especializada em Saúde,SP,True,True,True
04439627000102,ALLIANZ SAÚDE S/A,1,2025,7096486.67,515,Seguradora Especializada em Saúde,SP,True,True,True
92693118000160,BRADESCO SAÚDE S.A.,1,2025,7457669173.86,5711,Seguradora Especializada em Saúde,RJ,True,True,True
04540010000170,PORTO SEGURO - SEGURO SAÚDE S/A,1,2025,1319460931.64,582,Seguradora Especializada em Saúde,SP,True,True,True
20946877000187,AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA,1,2025,8838786.07,325465,Medicina de Grupo,MG,True,True,True
72783970000111,UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO,1,2025,23629570.34,329886,Cooperativa Médica,SP,True,True,True
31787625000179,FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST,1,2025,28991675.01,330809,Autogestão,ES,True,True,True
67417519000140,UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO,1,2025,19511623.74,325031,Cooperativa Médica,SP,True,True,True
12442737000143,UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO,1,2025,252571793.11,327689,Cooperativa Médica,AL,True,True,True
69259356000140,S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL,1,2025,50304469.15,324493,Autogestão,SP,True,True,True
66916305000156,UNIMED SUDOESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO,1,2025,6258289.07,327468,Cooperativa Médica,SP,True,True,True
00552181000169,UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO,1,2025,9871010.1,328308,Cooperativa Médica,SP,True,True,True
29290152000158,UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT.,1,2025,26849551.19,330264,Cooperativa Médica,RJ,True,True,True
78613841000161,ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA,1,2025,45638422.88,326755,Filantropia,PR,True,True,True
02903477000102,ASSOCIAÇÃO SAÚDE CONCEIÇÃO,1,2025,4631440.87,330892,Medicina de Grupo,SC,True,True,True
97388490000187,UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO,1,2025,32602982.87,324345,Cooperativa Médica,BA,True,True,True
66453168000160,UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO,1,2025,7087338.17,327352,Cooperativa Médica,MG,True,True,True
82996703000186,UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA,1,2025,70412474.69,329339,Cooperativa Médica,SC,True,True,True
40960189000189,UNIMED PARAIBA - FEDERAÇAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO,1,2025,198.58,324523,Cooperativa Médica,PB,True,True,True
66854779000110,ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA,1,2025,21381591.99,325236,Medicina de Grupo,SP,True,True,True
29309127000179,AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.,1,2025,5320013593.04,326305,Medicina de Grupo,SP,True,True,True
34063123000193,UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO,1,2025,3188270.48,325082,Cooperativa Médica,BA,True,True,True
83937631000169,CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC,1,2025,25883369.57,327557,Autogestão,SC,True,True,True
09306242000182,ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP,1,2025,11543820.44,330281,Autogestão,PB,True,True,True
11177786000133,ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO,1,2025,16285548.66,417211,Autogestão,MG,True,True,True
92741016000173,ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL,1,2025,23245064.99,417599,Filantropia,RS,True,True,True
10935483000170,ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO,1,2025,33227214.11,417947,Medicina de Grupo,SP,True,True,True
08708980000193,OESTE SAÚDE ASSISTÊNCIA A SAÚDE SUPLEMENTAR S.A,1,2025,18167399.28,416738,Medicina de Grupo,SP,True,True,True
10767219000174,PLANO DE ASSISTÊNCIA ODONTOLÓGICA FAUCHARD LTDA. ME,1,2025,571094.06,417106,Odontologia de Grupo,BA,True,True,True
08787782000162,PRIMA VIDA ODONTOLOGIA DE GRUPO LIMITADA,1,2025,2547541.06,416525,Odontologia de Grupo,RJ,True,True,True
10796140000171,ASSOCIAÇÃO SERVIÇOS ODONTOLÓGICOS DA INDÚSTRIA DE MINAS GERAIS - ODONTOINDUSTRIA,1,2025,599121.58,417220,Odontologia de Grupo,MG,True,True,True
12055813000168,CEMIG SAÚDE,1,2025,136569411.1,417505,Autogestão,MG,True,True,True
07945024000162,ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ,1,2025,14884275.22,417955,Autogestão,PR,True,True,True
11076382000153,UNIX SAÚDE S.A,1,2025,6156864.69,418137,Medicina de Grupo,BA,True,True,True
04430627000133,PLANO VIDA SAUDE SERVIÇOS ODONTOLOGICOS LTDA,1,2025,1051624.06,415987,Odontologia de Grupo,SE,True,True,True
08202035000115,ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA,1,2025,39208907.06,416568,Autogestão,MG,True,True,True
10456692000130,QUALIDONTO - QUALIDADE EM ODONTOLOGIA LTDA ,1,2025,389613.02,417131,Odontologia de Grupo,BA,True,True,True
13026081000140,FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO,1,2025,1425485.53,418129,Autogestão,MS,True,True,True
11593821000103,ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE,1,2025,23301503.96,417297,Autogestão,SC,True,True,True
51628360000173,PRONTO SOCORRO CONDE DE MOREIRA LIMA,1,2025,1941592.52,417475,Medicina de Grupo,SP,True,True,True
